FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:36:15.981999+01:00,Start_CLEANING_SWC_Scan_Go 0.550350904464722 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/1/2024,RULE_LTS1 nan nan,1
08:05:16.090705+01:00,0.000648022,4.44686,N,600408 0.0010039806365966 0.000259876251220703,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:42.197966+01:00,RULE_LTS1 14.5146250724792 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:49.913412+01:00,RULE_LTS1 15.2632429599762 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:54.266201+01:00,RULE_LTS1 11.202005147934 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:49.901603+01:00,Model_Context_Scan_Go 16.2792918682098 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:56.706349+01:00,RULE_LTS1 0.0014340877532959 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:56.317557+01:00,Start_LAUNCH_SVG 0.0008661746978759 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:00.989744+01:00,RULE_LTS1 0.0009970664978027 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:05:55.099753+01:00,MVOUT_Context_Lot_Scan_Go 7.00676679611206 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:04.651076+01:00,RULE_LTS1 0.0008380413055419 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:11.358905+01:00,RULE_LTS1 0.0008118152618408 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:11.428436+01:00,Start_METAL_SSW_Scan_Go 0.0011341571807861 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:19.336502+01:00,RULE_LTS1 0.0009200572967529 CTNSX00362,0
